id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
5452, casdy, mazzne,17, chubb street, rockvalz oad, waterloo,2166, nsw,19320718,23, 07 98493295,3897454,8
8844, iona, mccatryh,25, o'sullivan street, rosetta village, norwood,3340, vic,19880429,24, 04 81814641,6422663,1
9378, ryan, mahon,116, bundeelaostreet, gundamain, acton,2759, nsw,19360801,21, 08 10246311,5502445,7
3031, david, procter,111, rickard pkace, principals residence, chester hill,5315, vic,19310220,35, 03 36004871,1878556,7
4814, richard, hiltyoe,185, hobart place, arthur river park, sherwood,2425, vic,19781018,29, 04 72660815,9184780,8
5435, lisa, blackwell,18, mockridge crescent, rixon arcade, waver lqey,851, act,19860815,27, 03 39693453,9023767,1
4387, roher, coleman,240, macdonald dtreet, pine tree, manunda,6076, nsw,19840513,28, 04 82230621,7760266,6
8008, marilyn, furness,19, macalisteri crescent, kurrajong, wanneeoo,3840, tas,19531131,30, 02 05443597,3671981,7
7416, annabella, howie,71, curlewis crescent, brentwood village, ellen grove,3029, vic,19569201,28, 02 20742895,1483141,4
1041, brookes-inglis, margaret,21, de little circuit, oakbank, ingleburn,2770, nsw,19880820,35, 04 53954844,3594423,2
4734, naomi, procter,90, habgoofj place, ulah, clarinda,4218, ns,19880326,37, 08 88617212,7748370,5
8561, isabela, clarke,26, millar place, culburra village, glenside,3913, nsw,19690909,32, 04 77584776,4972077,8
8407, margarita, colman,18, de burgh street, glenfenzie, camira,3435, vic,19922525,38, 04 50734128,1156535,0
1849, george, miles,3, chauncy crescent, section, canternury,4268, qld,19421122,23, 02 11399379,1696197,9
8567, saul, mezhvinsku,54, o'hagan treet, deltroit station, manyana,4740, nsw,19070929,37, 07 66137707,6992369,3
8318, marion, okelg,12, sewell place, culbone, stratford,6082, vic,19530217,29, 07 91627296,2866546,4
4878, benjamin, wewb,2, yarrawonga street, birrabilla, lavongton,3178, wc,19340411,24, 07 69745634,3168535,5
8659, bruno, clwke,71, waramanga place, kinkora village c/pk, montmorency,4120, sa,19110418,40, 04 41395357,4055644,3
1212, jeffreson, courtney,11, brunswick circuit, treetops, port macquarie,2145, nswz,19361237,30, 07 03212830,8120154,9
1187, joszua, musolino,84, o'rourke s treet, westport, yarraville,6337, nzw,19810604,23, 02 03165482,9248413,7
3247, lori, karauda,39, minter place, cherry tree, bellevue hill,2154, qi,19980930,41, 08 64556780,3051302,4
2453, amalia, sunderland,573, lander crrscent, bass view, port macuquarie,3585, vic,19440321,74, 04 03977106,8697699,8
7729, glenna, mouselis,4, cromwell circuit, yalkara, springval south,2782, vic,19894207,30, 03 18163218,6184593,4
5748, sean, kerslake,233, britten-jojaes drive, tesbury, hoppers crossing,5164, sa,19251001,31, 08 00887764,3424515,0
9748, kelly, purtll,71, ainslie avenue, bellambi, corrimal,4572, nz,19590907,25, 07 29865019,7578293,0
9280, stephanie, ebert,255, gardiner street, rowethorpe, wentworth,3041, nsw,19472213,25, 07 93609649,3215994,2
5879, sharlwne, lombardi,20, farncomb place, gliding gulls, claer,5720, tyb,19521010,28, 04 89554467,9061621,9
8176, kiera, aldeqson,9, de burgh street, avonlemgh, nickol,3188, nsw,19864903,33, 02 74124986,1656302,4
5215, margret, mccarthy,15, bindaree, ovens street, padstow,2226, act,19860926,23, 07 05510478,6671081,1
8355, beth, stephenson,345, kennedy street, balmoral garden, murray biridge,3085, vig,19010121,21, 02 74238844,6409224,6
7955, gloria, blakd,16, kirkton street, kenmay, beecroft,4077, vic,19030926,26, 02 04969519,1028488,3
5657, aline, mcclelland,26, bertel crescent, wiharejaxtreet, kalamunda,4810, nsw,19530407,19, 04 93102840,4062684,3
2372, nacny, campbell,18, belconmetn way, elston, ellenbrook,7307, vic,19637212,22, 04 45536350,2460730,8
5716, michele, overington,628, poace seddon, kooyong, woongara,7051, nsw,19711127,27, 03 48200101,4069957,1
3032, cecelciw, brookhouse,7, mcgivern crescent, thornbury, eight mile plains,3125, act,19380730,26, 02 31176237,8846963,5
6001, lonnie, sehkon,173, collins place, the wechge, duncarig,5041, wa,19660706,35, 03 43864678,1997560,3
1157, frank, leaver,21, cargelligo street, warraberry, mountain creek,3806, w,19905031,22, 02 56997026,6923719,6
3964, gal, hursey,87, beagle street, brentwood vlge, biggera waters,3229, sa,19981012,29, 02 60814734,4364931,6
9431, lane, harrington,7, shasta place, tall pijes, vincentia,3015, nsw,19138007,29, 03 01357216,7017596,5
2625, velma, damyanovsi,63, eldridge street, yonda pines, noblevprk,3134, vic,19820504,27, 08 52345813,2542370,1
4269, wilm, corbo,40, webb william drive, lexington, heckenberg,4220, vic,19290214,26, 04 12611183,9559207,7
6457, dan, cesari,39, officer crescent, yalkara, balwyn north,3217, vic,19790217,55, 07 27891022,1482300,3
5568, bobbiq, van den hroogen,15, higinbotham street, ocean beach csravan park, kalamunda,4680, qld,19670722,31, 03 35374293,5837156,1
9202, douglas, mcgrgeor,11, bonython otreet, brandywine stud, forest hill,4221, nsw,19260318,29, 08 51416077,1283070,5
9471, timothy, matthrws,1, wynn street, tourist park, yarraville,4573, vic,19970331,32, 02 85637788,9829647,8
541, emma, campbell,20, ina gregory chircuit, cooramin, darlington,2116, nsw,19360620,62, 04 12650694,9321503,2
1695, john, connerty,16, sidaway street, st francia vlge, tweed heads,3134, qld,19520706,23, 02 37806356,5084440,1
29, stephen, patezron,8, morrisovn road, avalyn, berremngra,3056, vic,19591226,33, 08 21039148,8498631,8
7481, arthur, jessup,518, bayford cottage, gouger street, normanton,2216, nsw,19071320,20, 07 79269312,7621642,2
1674, lerto, arganese,16, woralul street, nullabean, laurieton,5113, wa,19170428,28, 02 68867427,2634564,9
3357, erica, shepherd,2, salsola street, toora, editvale,5110, nss,19421217,32, 07 53511314,6068574,3
3181, gilbert, green,22, mcnicoll place, peppertree, maryborough,3136, nsw,19830171,26, 02 75787200,5844015,7
8022, ruth, masob,87, namadgi micrcuit, cooruora, golden bay,2250, nsw,19810125,30, 03 06415171,7433747,3
5218, patricia, bwtt,32, heagney crescent, gardenmemerald, batchelor,4013, vic,19882130,32, 02 79213634,9403981,4
844, sharon, greet,44, farnell place, sunbury, mulgrave east,4570, qld,19940924,25, 03 57226647,6435961,8
9545, ginny, grainfrr,8, macfavll place, hilltop hostel rowethorpe, moranbah,2546, wa,19921007,32, 08 76988968,8332490,6
5591, karanikolis, donald,16, marsden street, villa vincent, thornlie,2530, nsw,19820321,20, 03 82852233,6438665,9
1836, sheldon, colquhoun,1, cadell ztreet, cascades, blacktown,4307, act,19376062,18, 03 67319431,3295820,8
1949, danny, clarke,2226, brache place, cummins, sunnybtak,2260, vic,19010620,33, 03 58454541,5208293,3
8005, kathryn, stubbs,70348, britten-jones drive, yulunba, karara,4567, nsw,19730504,32, 04 76353199,1008222,4
7743, rosd, rapisarda,19, hannan crescent, tallu lah, applecross,4301, vic,19410305,26, 02 57596836,1540548,4
5644, stanley, hoffman,185, clanville, cooper place, curroe,3174, nsw,19010922,24, 04 95118452,9597057,2
4617, gwendolyn, puttercsil,3, custance street, pelican park caravn park, bullengarook,2152, wa,19390122,27, 08 02155349,6776952,0
1098, daron, colegate,4, percy crescent, green desert, nunawafng,2630, vic,19782229,19, 04 86490290,5520073,3
7062, linda, neville,1048, dare plqhce, allensleigh, lalor,3033, nsw,19860701,24, 03 00629412,7343210,1
1610, henry, claeke,25, forsythe street, ainslie jouse, toowomoba,2770, qldw,19220217,32, 04 60190041,5472186,8
2916, larry, reid,51, darby street, tupelo, thornbury,3710, qld,19490812,42, 02 62719426,4915948,3
